date,transaction_number,acquiring_party,acquired_party,acquired_entities,title
2004-01-06,20040301,SunGard Data Systems Inc.,Systems & Computer Technology Corporation,Systems & Computer Technology Corporation,20040301: SunGard Data Systems Inc.; Systems & Computer Technology Corporation
2004-01-14,20040366,"R2 Investments, LDC",Carl Icahn,"XO Communications, Inc.","20040366: R2 Investments, LDC; Carl Icahn"
2004-01-12,20040339,Cumulus Media Inc.,Southern Minnesota Broadcasting Co.,Southern Minnesota Broadcasting Co.,20040339: Cumulus Media Inc.; Southern Minnesota Broadcasting Co.
2004-01-06,20040295,"Parthenon Investors II, L.P.","James B. A. Tracey, II","DCS Business Services,  Inc.","20040295: Parthenon Investors II, L.P.; James B. A. Tracey, II"
2004-01-14,20040355,The Sage Group plc,"Computer Associates International, Inc.","ACCPAC International, Inc.","20040355: The Sage Group plc; Computer Associates International, Inc."
2004-01-12,20040338,Verisity Ltd.,"Axis Systems, Inc.","Axis Systems, Inc.","20040338: Verisity Ltd.; Axis Systems, Inc."
2004-01-02,20040325,"Liberte Investors, Inc.","USAuto Holdings, Inc.","USAuto Holdings, Inc.","20040325: Liberte Investors, Inc.; USAuto Holdings, Inc."
2004-01-14,20040337,Zurich Financial Services,Roger Johnson,"IES Manufacturing Company; ITC I; Kele & Associates, Inc.; Wentech, Incorporated",20040337: Zurich Financial Services; Roger Johnson
2004-01-12,20040327,Schneider Electric S.A.,MGE Finances SAS,MGE Finances SAS,20040327: Schneider Electric S.A.; MGE Finances SAS
2003-12-30,20040316,"Affiliated Computer Services, Inc.","Patient Accounting Service Center, LLC","Patient Accounting Service Center, LLC","20040316: Affiliated Computer Services, Inc.; Patient Accounting Service Center, LLC"
2004-01-14,20040324,"Gas-Mart USA, Inc.",ConocoPhillips,ConocoPhillips Company,"20040324: Gas-Mart USA, Inc.; ConocoPhillips"
2004-01-12,20040322,"JLL Partners Fund IV, L.P.","Linsalata Capital Partners Fund IV, L.P.",PGT Holdings Company,"20040322: JLL Partners Fund IV, L.P.; Linsalata Capital Partners Fund IV, L.P."
2003-12-30,20040315,"Manpower, Inc.","Right Management Consultants, Inc.","Right Management Consultants, Inc.","20040315: Manpower, Inc.; Right Management Consultants, Inc."
2004-01-12,20040370,"Gannett Co., Inc.",Jobson Publishing L.L.C.,Jobson Publishing L.L.C.,"20040370: Gannett Co., Inc.; Jobson Publishing L.L.C."
2004-01-12,20040317,Henkel KGaA,The Dial Corporation,The Dial Corporation,20040317: Henkel KGaA; The Dial Corporation
2003-12-30,20040314,"Telephone and Data Systems, Inc. Voting Trust","Telephone and Data Systems, Inc. Voting Trust","United States Cellular Telephone of Greater Tulsa, L.L.C.","20040314: Telephone and Data Systems, Inc. Voting Trust; Telephone and Data Systems, Inc. Voting Trust"
2004-01-12,20040368,"Marsh & McLennan Companies, Inc.","Synhrgy HR Technologies, Inc.","Synhrgy HR Technologies, Inc.","20040368: Marsh & McLennan Companies, Inc.; Synhrgy HR Technologies, Inc."
2004-01-12,20040293,Eli Lilly and Company,"Applied Molecular Evolution, Inc.","Applied Molecular Evolution, Inc.","20040293: Eli Lilly and Company; Applied Molecular Evolution, Inc."
2004-02-11,20040453,Pixiegrove Limited,ABB Ltd.,ABB Offshore Systems Inc.; ABB Vetco Gray Inc.,20040453: Pixiegrove Limited; ABB Ltd.
2004-02-05,20040429,"DLJ Real Estate Capital Partners II, L.P.",Lanter Company,"Lanter Logistics, Inc.; Lanter Refrigerated Distributing Co.","20040429: DLJ Real Estate Capital Partners II, L.P.; Lanter Company"
2004-01-27,20040404,"Colony Resorts LVH Co-Investment Partners, L.P.","Caesars Entertainment, Inc.",LVH Corporation,"20040404: Colony Resorts LVH Co-Investment Partners, L.P.; Caesars Entertainment, Inc."
2004-02-11,20040393,AMVESCAP PLC,SRIC HOLDING LLC,Stein Roe Investment Counsel LLC,20040393: AMVESCAP PLC; SRIC HOLDING LLC
2004-02-04,20040428,SAVVIS Communications Corporation,Cable & Wireless plc,"Cable & Wireless Internet Services, Inc.; Cable & Wireless USA of Virginia, Inc.; Cable & Wireless USA, Inc.; Exodus Communications Real Property I, LLC; Exodus Communications Real Property I, LP; Exodus Communications Real Property Managers I, LLC",20040428: SAVVIS Communications Corporation; Cable & Wireless plc
2004-01-27,20040401,MBNA Corporation,Meriwest Credit Union,Meriwest Credit Union,20040401: MBNA Corporation; Meriwest Credit Union
2004-02-11,20040389,Societe Air France,Koninklijlke Luchtvaart Maatschappij N.V.,KLM Royal Dutch Airlines,20040389: Societe Air France; Koninklijlke Luchtvaart Maatschappij N.V.
2004-02-04,20040422,"Roto-Rooter, Inc.",Vitas Healthcare Corporation,Vitas Healthcare Corporation,"20040422: Roto-Rooter, Inc.; Vitas Healthcare Corporation"
2004-01-27,20040400,"Oak Hill Capital Partners, L.P.",Duane Reade Inc.,Duane Reade Inc.,"20040400: Oak Hill Capital Partners, L.P.; Duane Reade Inc."
2004-02-11,20030957,"Caremark Rx, Inc.",AdvancePCS,AdvancePCS,"20030957: Caremark Rx, Inc.; AdvancePCS"
